id,tool_name,source_path,domain,subdomain,description,deps_pypi,imports_unknown,tags,content_hash
WEB.SCRAPE.002_bs4_demo,sm0l_bs4_demo,bs4_demo.py,WEB,SCRAPE,Run bs4_demo.py,beautifulsoup4,__future__,__future__ bs4,428c94b7821d
MISC.MISC.044_cutecharts_demo,sm0l_cutecharts_demo,cutecharts_demo.py,MISC,MISC,Run cutecharts_demo.py,,__future__ cutecharts,__future__ chart cutecharts,7eb150c70df0
AUTO.WORKFLOW.002_dagster_demo,sm0l_dagster_demo,dagster_demo.py,AUTO,WORKFLOW,dagster minimal in-process job demo,,dagster,dagster,2d127ce48653
MISC.MISC.045_dataclasses_demo,sm0l_dataclasses_demo,dataclasses_demo.py,MISC,MISC,Run dataclasses_demo.py,,__future__,__future__,eb477f8ce8ee
VIZ.PLOTS.005_datashader_demo,sm0l_datashader_demo,datashader_demo.py,VIZ,PLOTS,Run datashader_demo.py,datashader numpy pandas,__future__,__future__ datashader numpy pandas,bbdb4b63730f
MISC.MISC.046_dynaconf_demo,sm0l_dynaconf_demo,dynaconf_demo.py,MISC,MISC,Run dynaconf_demo.py,,__future__ dynaconf,__future__ dynaconf tempfile textwrap,4f349c673ea5
MISC.MISC.047_faker_demo,sm0l_faker_demo,faker_demo.py,MISC,MISC,Run faker_demo.py,Faker,__future__,__future__ faker,da0a692932de
WEB.API.001_fastapi_app_demo,sm0l_fastapi_app_demo,fastapi_app_demo.py,WEB,API,fastapi minimal app object,fastapi,,api fastapi,1b126da1202a
WEB.API.002_fastapi_demo,sm0l_fastapi_demo,fastapi_demo.py,WEB,API,Run fastapi_demo.py,fastapi,__future__,__future__ api fastapi,322426cefc4e
MISC.MISC.048_fire_example,sm0l_fire_example,fire_example.py,MISC,MISC,!/usr/bin/env python3,,fire,fire,9e02f4b455b2
WEB.API.003_flask_demo,sm0l_flask_demo,flask_demo.py,WEB,API,Run flask_demo.py,Flask,__future__,__future__ api flask,85d20b3c7616
DOC.PDF.001_fpdf_demo,sm0l_fpdf_demo,fpdf_demo.py,DOC,PDF,fpdf2 minimal PDF generation demo,,fpdf,fpdf pathlib pdf tempfile,6c8357dd5944
MISC.MISC.049_fuzzywuzzy_demo,sm0l_fuzzywuzzy_demo,fuzzywuzzy_demo.py,MISC,MISC,Run fuzzywuzzy_demo.py,,__future__ fuzzywuzzy,__future__ fuzzywuzzy,51f27284e2a7
MISC.MISC.050_git_gnupg_ssh_keys_setup,sm0l_git_gnupg_ssh_keys_setup,git_gnupg_ssh_keys_setup.py,MISC,MISC,Run git_gnupg_ssh_keys_setup.py,,shutil,ctypes pathlib shutil subprocess,d2ce31a984c7
WEB.HTTP.003_github_repo_syncer,sm0l_github_repo_syncer,github_repo_syncer.py,WEB,HTTP,!/usr/bin/env python3,requests,,argparse pathlib requests subprocess,8c6e09014cf2
MISC.MISC.051_google_calendar_api_demo,sm0l_google_calendar_api_demo,google_calendar_api_demo.py,MISC,MISC,Google Calendar API minimal skeleton. Requires service account JSON path in: GOOGLE_CRED_JSON This demo only builds a client and lists next 1 event if credentials are provided.,,googleapiclient oauth2client,datetime googleapiclient oauth2client,ac8a67491802
MISC.MISC.052_gradio_demo,sm0l_gradio_demo,gradio_demo.py,MISC,MISC,Run gradio_demo.py,gradio,__future__,__future__ gradio,c8acf1abcaca
